,W,L,W/L%,GB,PS/G,PA/G
Olympiacos,26,12,0.684,-,87.9,81.6
Valencia Basket,25,13,0.658,1,90.9,86.3
Real Madrid,24,14,0.632,2,87.9,83.1
Fenerbahçe Beko,24,14,0.632,2,79.8,78.5
Žalgiris,23,15,0.605,3,87.6,82.8
Hapoel IBI Tel Aviv,23,15,0.605,3,86,83.2
Panathinaikos AKTOR,22,16,0.579,4,87.2,84.9
AS Monaco,22,16,0.579,4,90.5,86.9
Barcelona,21,17,0.553,5,84.8,83.9
Crvena zvezda Meridianbet,21,17,0.553,5,87.6,86.2
Dubai,19,19,0.5,7,85.9,85.7
Maccabi Rapyd Tel Aviv,18,20,0.474,8,87.8,90.3
Bayern München,17,21,0.447,9,80.8,83.7
EA7 Emporio Armani Milano,17,21,0.447,9,86.1,87.2
Partizan Mozzart Bet,16,22,0.421,10,79.5,84.3
Paris Basketball,15,23,0.395,11,90.1,90.9
Virtus Olidata Bologna,14,24,0.368,12,81.8,86.4
Baskonia,13,25,0.342,13,88.3,93.1
Anadolu Efes,12,26,0.316,14,80.1,84.3
LDLC ASVEL,8,30,0.211,18,79.3,86.6
